Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b978797	Can't access to untrusted sites	https://bugzilla.mozilla.org/show_bug.cgi?id=978797	"
a/dom/browser-element/BrowserElementChildPreload.js
a/security/manager/ssl/src/NSSErrorsService.cpp
a/security/manager/ssl/src/TransportSecurityInfo.cpp
a/security/manager/ssl/tests/unit/test_cert_overrides.js
a/security/manager/ssl/tests/unit/tlsserver/cmd/BadCertServer.cpp
a/security/manager/ssl/tests/unit/tlsserver/generate_certs.sh"
b480357	Change browser.identity.ssl_domain_display pref default to 1	https://bugzilla.mozilla.org/show_bug.cgi?id=480357	"
a/browser/app/profile/firefox.js"
b1111960	Open any pseudo URL (e.g. chrome://) when manually calling a link in a new tab	https://bugzilla.mozilla.org/show_bug.cgi?id=1111960	"
a/browser/components/nsBrowserGlue.js
a/browser/modules/ContentClick.jsm
a/browser/modules/moz.build"
b1163422	Middle-click opens file: links from http:	https://bugzilla.mozilla.org/show_bug.cgi?id=1163422	"
a/browser/base/content/content.js"
b369427	Showing a blocked pop-up bypasses CheckLoadURI (can load file: URLs)	https://bugzilla.mozilla.org/show_bug.cgi?id=369427	"
dom/src/base/nsGlobalWindow.cpp"
b734076	XSS with context menu	https://bugzilla.mozilla.org/show_bug.cgi?id=734076	"
a/browser/base/content/nsContextMenu.js
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug734076.js"
b1096319	browser.js should validate opener when using it to determine sidebar to load	https://bugzilla.mozilla.org/show_bug.cgi?id=1096319	"
a/browser/base/content/browser.js"
b1208141	about:home's search doesn't sanitize input and uses it for .innerHTML (CSS running, JavaScript on events)	https://bugzilla.mozilla.org/show_bug.cgi?id=1208141	"
a/browser/base/content/contentSearchUI.js"
b432741	lock icon in status bar should open security info on single click	https://bugzilla.mozilla.org/show_bug.cgi?id=432741	"
a/browser/base/content/browser.xul"
b341472	ship with fewer security warnings showing by default	https://bugzilla.mozilla.org/show_bug.cgi?id=341472	"
browser/app/profile/firefox.js
netwerk/base/public/security-prefs.js"
b284627	arbitrary code execution via sidebar	https://bugzilla.mozilla.org/show_bug.cgi?id=284627	"
browser/base/content/browser.js
browser/base/content/contentAreaUtils.js"
b290079	arbitrary code execution via sidebar (part 2)	https://bugzilla.mozilla.org/show_bug.cgi?id=290079	"
mozilla/browser/base/content/browser.js"
b295121	Secure Site indicator not shown when secure site loaded in new tab	https://bugzilla.mozilla.org/show_bug.cgi?id=295121	"
toolkit/content/widgets/browser.xml"
b882467	"Mixed Content Telemetry - How many times do users click ""Disable Protection"""	https://bugzilla.mozilla.org/show_bug.cgi?id=882467	"
a/browser/base/content/browser.js
a/content/base/src/nsDocument.cpp
a/toolkit/components/telemetry/Histograms.json"
b1105704	Fix UI issues with SSL error reporting	https://bugzilla.mozilla.org/show_bug.cgi?id=1105704	"
a/browser/base/content/aboutNetError.xhtml
a/browser/themes/shared/aboutNetError.css"
b834836	Turn on pref to block mixed active content	https://bugzilla.mozilla.org/show_bug.cgi?id=834836	"
a/content/base/test/chrome/test_csp_bug768029.html"
b838359	There's no obvious (to users) reason why we're showing yellow-triangle-with-exclamation-point vs. globe, for mixed-content sites	https://bugzilla.mozilla.org/show_bug.cgi?id=838359	"
a/browser/base/content/browser.js"
b840641	Large Shield Icon Missing in Mixed Content Blocker Doorhanger	https://bugzilla.mozilla.org/show_bug.cgi?id=840641	"
a/browser/themes/gnomestripe/browser.css
a/browser/themes/gnomestripe/jar.mn
a/browser/themes/winstripe/jar.mn"
b843540	[Windows] Shield icon missing in Mixed content blocker doorhanger	https://bugzilla.mozilla.org/show_bug.cgi?id=843540	"
a/browser/themes/winstripe/jar.mn"
b865352	Replace grey globe with grey warning triangle when the page contains mixed passive content	https://bugzilla.mozilla.org/show_bug.cgi?id=865352	"
a/browser/base/content/browser.js
a/browser/themes/linux/jar.mn
a/browser/themes/osx/browser.css
a/browser/themes/osx/jar.mn
a/browser/themes/shared/identity-block.inc.css
a/browser/themes/windows/jar.mn"
b912817	Mixed display-only pages showing the wrong text	https://bugzilla.mozilla.org/show_bug.cgi?id=912817	"
a/browser/base/content/browser.js
a/browser/themes/osx/browser.css
a/browser/themes/shared/identity-block.inc.css"
b913710	Change the Larry Menu Text when Mixed Scripts are blocked but the page contains Mixed Display	https://bugzilla.mozilla.org/show_bug.cgi?id=913710	"
a/browser/base/content/browser.js
a/browser/locales/en-US/chrome/browser/browser.properties"
b420356	Ship blocklist.xml with Firefox	https://bugzilla.mozilla.org/show_bug.cgi?id=420356	"
a/browser/app/Makefile.in
a/browser/app/blocklist.xml
a/browser/installer/unix/packages-static
a/browser/installer/windows/packages-static
a/toolkit/mozapps/extensions/src/nsBlocklistService.js"
b1244022	Wrong mouse over message for crossed out lock icon	https://bugzilla.mozilla.org/show_bug.cgi?id=1244022	"
a/browser/base/content/browser.js
a/browser/locales/en-US/chrome/browser/browser.properties"
b1217133	Don't warn about insecure passwords on localhost	https://bugzilla.mozilla.org/show_bug.cgi?id=1217133	"
a/browser/base/content/test/general/browser_insecureLoginForms.js
a/dom/interfaces/security/nsIContentSecurityManager.idl
a/toolkit/components/passwordmgr/LoginManagerContent.jsm"
b1221206	Turn on Insecure Password Warning for Firefox Dev Edition	https://bugzilla.mozilla.org/show_bug.cgi?id=1221206	"
a/browser/app/profile/firefox.js"
b1193849	"Bugs with ""Learn More"" link for Mixed Content Blocker in Control Center"	https://bugzilla.mozilla.org/show_bug.cgi?id=1193849	"
a/browser/components/controlcenter/content/panel.inc.xul"
b483950	Remove/hide status bar domain display text	https://bugzilla.mozilla.org/show_bug.cgi?id=483950	"
a/browser/base/content/browser.css"
b415704	"Selecting ""More Information"" from the Larry UI does not launch Page Info"	https://bugzilla.mozilla.org/show_bug.cgi?id=415704	"
browser/base/content/browser.xul"
